sample,crosslink_density(mmol/cm3),youngsmodulus(kPa),gelfraction(w/w)
LRO_center-1,3.08882507756363,22.971297196266438,0.9584877687175686
LRO_center-2,4.517625912836021,33.59715259342745,0.9645926435201101
LRO_center-3,3.7574150633160426,27.94353708667824,0.9554554554554554
LRO_inner-lip-1,4.060727711122752,30.199244289641687,0.9584837545126353
LRO_inner-lip-2,4.015554402756879,29.863294708246308,0.9638971315529179
LRO_inner-lip-3,4.047812149059153,30.103192487687988,0.9596507076181873
LRO_lip-1,4.358049327794311,32.410396766046716,0.9601672535211268
LRO_lip-2,4.313186520814997,32.076756353818055,0.9583472175941354
LRO_lip-3,4.297026502116161,31.9565758376326,0.9610490781615164
LRO_bulk-1,4.515905084837487,33.58435495989842,0.9598673300165838
LRO_bulk-2,4.54856361086825,33.82723329991643,0.958693733451015
LRO_bulk-3,4.388866594500977,32.63958183626565,0.9583159649854106
RLO_center-1,4.581015566212249,34.06857539345931,0.9671879005383236
RLO_center-2,4.399963087749691,32.722105397118646,0.9679253867151957
RLO_center-3,4.424247310742694,32.90270484498142,0.9526590839225332
RLO_inner-lip-1,4.371468747090563,32.510195706133885,0.9660320207702293
RLO_inner-lip-2,4.289512646374745,31.900696009869066,0.9740868706811451
RLO_inner-lip-3,4.415945555020074,32.84096548028243,0.968835701819995
RLO_lip-1,4.4143574857399495,32.82915516066706,0.9626248216833095
RLO_lip-2,4.39404337905261,32.67808108872264,0.9751598173515983
RLO_lip-3,4.3062473568578366,32.02515045398533,0.9744540585084466
RLO_bulk-1,4.36863753285699,32.48914023618899,0.959094865100087
RLO_bulk-2,4.4152640165595605,32.83589694382146,0.9759689922480619
RLO_bulk-3,4.397466681901262,32.70353986516823,0.9714429699311271
